"","Country","Year","unemployment_rate","alcohol","HDI","population","suicides","gdp_per_capita","suicide_per_100k"
"1","Australia",1995,8.5,9.8,"0.883",16766300,2170,21902,12.9426289640529
"2","Australia",1996,8.5,10,"0.886",17015100,2426,23526,14.2579238441149
"3","Australia",1997,8.4,10.2,"0.889",17221300,2646,25234,15.364693722309
"4","Australia",1998,7.7,10,"0.892",17421730,2632,22897,15.1075696845262
"5","Australia",1999,6.9,10,"0.895",17641702,2488,22016,14.1029476634397
"6","Australia",2000,6.3,10.2,"0.898",17874410,2391,23219,13.3766652997218
"7","Australia",2001,6.7,10,"0.9",18130883,2458,20860,13.5569789954521
"8","Australia",2002,6.4,10.4,"0.903",18370058,2319,21474,12.6238033652371
"9","Australia",2003,5.9,10.3,"0.904",18608029,2156,25059,11.5863963883547
"10","Australia",2004,5.4,10.5,"0.907",18854551,2114,32454,11.2121471362537
"11","Australia",2005,5,10.5,"0.902",19436429,2101,33999,10.8095988208534
"12","Australia",2006,4.8,10.8,"0.905",19109246,2117,39014,11.0784067566036
"13","Australia",2007,4.4,10.8,"0.908",19734430,2229,43171,11.2949803972043
"14","Australia",2008,4.2,10.8,"0.922",20120312,2341,52315,11.635008443209
"15","Australia",2009,5.6,10.7,"0.923",20529317,2337,45128,11.3837201695507
"16","Australia",2010,5.2,10.4,"0.926",20847547,2420,54887,11.6080803175549
"17","Australia",2011,5.1,10.2,"0.928",20881910,2392,66770,11.4548908600794
"18","Australia",2012,5.2,10,"0.932",21238909,2580,72669,12.1475166167904
"19","Australia",2013,5.7,9.9,"0.926",21600180,2608,72856,12.0739734576286
"20","Australia",2014,6.1,9.7,"0.929",21927587,2891,66809,13.1843052315788
"21","Australia",2015,6.1,9.8,"0.933",22240785,3027,60656,13.6101311172245
"22","Austria",1995,4.3,14.2,"0.817",7477030,1788,32237,23.9132382777654
"23","Austria",1996,5.3,14.2,"0.82",7493706,1779,31660,23.7399225429981
"24","Austria",1997,5.1,13.6,"0.824",7512589,1592,28325,21.1910967044783
"25","Austria",1998,5.5,13.5,"0.828",7533519,1559,28972,20.6941802363544
"26","Austria",1999,4.7,13.4,"0.834",7561609,1555,28722,20.5644063320386
"27","Austria",2000,4.7,13.7,"0.838",7592073,1588,25922,20.916553357693
"28","Austria",2001,4,12.8,"0.849",7634560,1489,25848,19.5034160449325
"29","Austria",2002,4.8,12.5,"0.838",7683162,1553,27772,20.213032082364
"30","Austria",2003,4.8,12.7,"0.842",7722033,1456,33889,18.8551382777048
"31","Austria",2004,5.8,12.5,"0.849",7773105,1422,38711,18.2938478252899
"32","Austria",2005,5.6,12.6,"0.855",7827461,1399,40367,17.8729731135039
"33","Austria",2006,5.2,12.9,"0.861",7869269,1297,42698,16.4818358604846
"34","Austria",2007,4.9,12.9,"0.881",7897272,1285,49218,16.2714415813461
"35","Austria",2008,4.1,12.4,"0.884",7925258,1267,54294,15.986861247924
"36","Austria",2009,5.3,12.1,"0.886",7946894,1278,50356,16.0817547081917
"37","Austria",2010,4.8,12.5,"0.895",7968421,1264,49181,15.8626156926197
"38","Austria",2011,4.6,12.2,"0.897",7995146,1288,53923,16.109774605742
"39","Austria",2012,4.9,12.4,"0.899",8031276,1276,50979,15.887886308477
"40","Austria",2013,5.3,12.4,"0.896",8079615,1291,53229,15.9784841233153
"41","Austria",2014,5.6,12.8,"0.904",8141165,1314,54278,16.1401961512879
"42","Austria",2015,5.7,11.9,"0.906",8219386,1251,46484,15.2201149818247
"43","Belgium",1995,9.3,11,"0.851",9527100,2155,30394,22.6196848988674
"44","Belgium",1996,9.5,10.9,"0.857",9557545,2013,29438,21.061894032411
"45","Belgium",1997,9,10.9,"0.862",9576223,2146,26609,22.4096702844117
"46","Belgium",1998,9.3,9.9,"0.866",9620997,2019,27087,20.9853511023857
"47","Belgium",1999,8.6,10.1,"0.868",9648277,1857,26969,19.2469598457839
"48","Belgium",2000,6.6,11.2,"0.873",9674025,2143,24592,22.152103183525
"49","Belgium",2001,6.2,11,"0.876",9710055,2165,24494,22.296475148699
"50","Belgium",2002,6.9,11.3,"0.879",9758570,2076,26526,21.2736087357062
"51","Belgium",2003,7.7,11.3,"0.882",9804122,2091,32538,21.3277639751933
"52","Belgium",2004,7.4,12.1,"0.885",9848022,1987,37661,20.1766405477161
"53","Belgium",2005,8.4,12.2,"0.889",9901014,2029,39124,20.4928505302588
"54","Belgium",2006,8.2,10.9,"0.896",9962702,1935,41135,19.4224418235133
"55","Belgium",2007,7.5,10.3,"0.899",10030266,1857,47040,18.5139656316193
"56","Belgium",2008,7,10.5,"0.899",10100850,1999,51345,19.7904136780568
"57","Belgium",2009,7.9,10.1,"0.899",10173366,2013,47630,19.7869613655893
"58","Belgium",2010,8.3,10.3,"0.903",10211171,2013,47355,19.7137037466124
"59","Belgium",2011,7.1,10.1,"0.904",10355126,2088,50893,20.1639265422748
"60","Belgium",2012,7.5,10.1,"0.905",10442637,2026,47678,19.4012297851587
"61","Belgium",2013,8.4,10.3,"0.908",10526149,1895,49489,18.0027852541324
"62","Belgium",2014,8.5,10.6,"0.91",10578848,1899,50173,17.9509148822254
"63","Belgium",2015,8.5,10.4,"0.913",10624356,1867,42830,17.572829826109
"64","Canada",1995,9.5,7.4,"0.861",27618500,3968,21871,14.3671814182523
"65","Canada",1996,9.6,7.4,"0.863",27706600,3941,22686,14.224047699826
"66","Canada",1997,9.1,7.2,"0.863",28085100,3681,23245,13.1065938878622
"67","Canada",1998,8.3,7.3,"0.861",28372536,3699,22268,13.0372554642278
"68","Canada",1999,7.6,7.5,"0.864",28681643,4074,23572,14.2042071997061
"69","Canada",2000,6.8,7.6,"0.868",29008565,3606,25589,12.4308113827761
"70","Canada",2001,7.2,7.6,"0.872",29262055,3694,25165,12.6238570736061
"71","Canada",2002,7.7,7.7,"0.877",29642114,3650,25570,12.3135617115567
"72","Canada",2003,7.6,7.7,"0.882",29958833,3765,29787,12.5672451927617
"73","Canada",2004,7.2,7.8,"0.887",30283966,3613,33787,11.9304056806826
"74","Canada",2005,6.8,8,"0.892",30597090,3743,38218,12.2331894961253
"75","Canada",2006,6.3,8.2,"0.895",30902962,3512,42566,11.3646064089261
"76","Canada",2007,6,8.4,"0.891",31242631,3611,46890,11.5579254512848
"77","Canada",2008,6.1,8.4,"0.893",31588641,3705,49041,11.7288996383225
"78","Canada",2009,8.3,8.4,"0.893",31937357,3890,42933,12.1800936752531
"79","Canada",2010,8.1,8.4,"0.895",32286140,3951,49974,12.2374492584124
"80","Canada",2011,7.5,8.2,"0.899",32615418,3728,54841,11.4301769794887
"81","Canada",2012,7.3,8.3,"0.906",32961196,3926,55347,11.9109755604742
"82","Canada",2013,7.1,8.2,"0.91",33314836,4054,55310,12.1687526842395
"83","Canada",2014,6.9,8,"0.914",34798320,4054,55754,11.6499877005557
"84","Canada",2015,6.9,8,"0.917",35154440,4054,54671,11.5319714949235
"85","Chile",1995,4.7,8.3,"0.725",12897643,930,5695,7.21061980084268
"86","Chile",1996,7.4,7.4,"0.732",13125089,917,5946,6.98661929073395
"87","Chile",1997,7.1,6.6,"0.739",13339550,910,6368,6.82181932673891
"88","Chile",1998,7.3,7.3,"0.741",13543940,1031,6023,7.61226053866157
"89","Chile",1999,11.2,7.6,"0.747",13743882,1041,5470,7.57427923202484
"90","Chile",2000,10.5,6.2,"0.753",13943575,1473,5584,10.5640052855885
"91","Chile",2001,10.4,6.2,"0.764",14139590,1625,5020,11.492553885933
"92","Chile",2002,10.2,5.5,"0.767",14332840,1603,4866,11.1841058715509
"93","Chile",2003,9.8,6.5,"0.773",14523758,1654,5208,11.3882371215494
"94","Chile",2004,10.2,6.8,"0.782",14710993,1735,6744,11.793901336232
"95","Chile",2005,9.3,7.2,"0.788",14893574,1682,8256,11.2934611933979
"96","Chile",2006,9,6.9,"0.787",15071596,1795,10270,11.9098203003849
"97","Chile",2007,8.4,7.4,"0.801",15245435,1848,11387,12.1216613366559
"98","Chile",2008,9.3,7.4,"0.811",15415661,2088,11653,13.5446673353806
"99","Chile",2009,11.3,7.2,"0.819",15584149,2148,11062,13.7832357737339
"100","Chile",2010,8.4,7.6,"0.8",15751851,2001,13874,12.7032689681994
"101","Chile",2011,7.3,7.1,"0.812",15910783,2027,15854,12.7397878533068
"102","Chile",2012,6.7,8.3,"0.818",16075247,1841,16617,11.4523901250164
"103","Chile",2013,6.2,7.2,"0.83",16242244,1738,17140,10.7004918778464
"104","Chile",2014,6.7,7.9,"0.834",16406867,1789,15883,10.903970879998
"105","Chile",2015,6.5,7.9,"0.839",16565725,1838,14729,11.0951980670934
"106","Czech Republic",1995,4,11.5,"0.753",9744300,1733,6134,17.7847562164547
"107","Czech Republic",1996,3.9,11.6,"0.767",9763900,1568,6861,16.0591566894376
"108","Czech Republic",1997,4.3,11.9,"0.774",9786700,1666,6314,17.0231027823475
"109","Czech Republic",1998,5.9,11.8,"0.775",9808300,1613,6779,16.4452555488719
"110","Czech Republic",1999,8.5,11.9,"0.784",9819215,1610,6606,16.3964227282935
"111","Czech Republic",2000,8.8,11.8,"0.796",9819742,1649,6278,16.7927018856504
"112","Czech Republic",2001,8,11.8,"0.806",9838083,1623,6863,16.4971163589492
"113","Czech Republic",2002,7,11.9,"0.813",9752463,1534,8399,15.7293598550438
"114","Czech Republic",2003,7.5,12.1,"0.822",9748550,1719,10220,17.6333916326018
"115","Czech Republic",2004,8.2,11.5,"0.825",9746647,1583,12226,16.2414828402014
"116","Czech Republic",2005,7.9,12,"0.835",9761733,1565,13961,16.0319894018818
"117","Czech Republic",2006,7.1,11.9,"0.843",9780319,1400,15896,14.3144615221651
"118","Czech Republic",2007,5.3,12.1,"0.85",9818295,1379,19273,14.0452084603284
"119","Czech Republic",2008,4.4,12.1,"0.854",9899594,1379,23811,13.9298641944306
"120","Czech Republic",2009,6.7,12.1,"0.857",9937407,1464,20748,14.7322133429777
"121","Czech Republic",2010,7.3,11.4,"0.862",9945273,1502,20862,15.102652285161
"122","Czech Republic",2011,6.7,11.5,"0.865",9906318,1590,23010,16.0503630107574
"123","Czech Republic",2012,7,11.6,"0.865",9923127,1658,20898,16.708442812432
"124","Czech Republic",2013,7,11.5,"0.874",9936780,1577,21073,15.870332240424
"125","Czech Republic",2014,6.1,11.9,"0.879",9963127,1489,20859,14.9451070933854
"126","Czech Republic",2015,5,11.5,"0.882",9989325,1387,18703,13.8848220475357
"127","Denmark",1995,13.1,12.1,"0.831",4889100,924,37841,18.8991838988771
"128","Denmark",1996,11.3,12.2,"0.837",4917300,892,38158,18.1400361987269
"129","Denmark",1997,11.9,12.2,"0.843",4937300,817,35148,16.5475057217508
"130","Denmark",1998,12.2,11.6,"0.849",4956400,763,35710,15.394237753208
"131","Denmark",1999,15.9,11.6,"0.861",4976200,762,35763,15.3128893533218
"132","Denmark",2000,19.1,13.1,"0.863",4998610,728,32841,14.5640488055679
"133","Denmark",2001,19.4,13.1,"0.876",5018451,727,32837,14.486541763584
"134","Denmark",2002,18.7,13.1,"0.883",5041222,688,35435,13.6474846773263
"135","Denmark",2003,17.1,13,"0.894",5056783,633,43129,12.5178398993985
"136","Denmark",2004,18.6,12.8,"0.898",5072927,661,49552,13.0299529246133
"137","Denmark",2005,16.3,12.7,"0.903",5089852,631,51960,12.3972170507119
"138","Denmark",2006,13.4,12.2,"0.905",5110460,650,55354,12.719011595825
"139","Denmark",2007,11.1,12.1,"0.904",5133001,581,62229,11.3189146076535
"140","Denmark",2008,9.5,10.9,"0.909",5162525,603,68447,11.6803308458555
"141","Denmark",2009,12,10.1,"0.906",5192790,622,61863,11.9781466225285
"142","Denmark",2010,14.4,10.3,"0.91",5217785,563,61711,10.7900191364727
"143","Denmark",2011,13.6,10.5,"0.922",5244150,589,65598,11.2315627890125
"144","Denmark",2012,14,9.3,"0.924",5270539,661,62071,12.5414117986794
"145","Denmark",2013,14.2,9.4,"0.926",5299698,610,64831,11.5100898202124
"146","Denmark",2014,13.2,9.5,"0.928",5339166,629,66114,11.7808661502564
"147","Denmark",2015,11.5,9.3,"0.926",5383060,564,55972,10.4773121607413
"148","Estonia",1995,9.7,8.3,"0.724",1356651,594,3224,43.784289400885
"149","Estonia",1996,9.9,8,"0.734",1342202,545,3536,40.6049163985749
"150","Estonia",1997,10.4,8.3,"0.747",1331234,522,3806,39.2117388828711
"151","Estonia",1998,9.5,8,"0.759",1321719,477,4250,36.0893654400065
"152","Estonia",1999,11.6,8.9,"0.766",1313198,468,4361,35.6381901282213
"153","Estonia",2000,13.4,9,"0.78",1334175,377,4262,28.257162666067
"154","Estonia",2001,13.1,10.1,"0.79",1325610,401,4711,30.2502244249817
"155","Estonia",2002,10,12,"0.799",1316690,371,5561,28.1767158556684
"156","Estonia",2003,11.3,11.8,"0.806",1307160,342,7523,26.1635912971633
"157","Estonia",2004,10.2,11.5,"0.814",1297650,323,9293,24.8911493854275
"158","Estonia",2005,8,13,"0.825",1288495,273,10870,21.1875094587096
"159","Estonia",2006,5.9,13.4,"0.832",1278915,247,13264,19.3132459936743
"160","Estonia",2007,4.6,14.8,"0.839",1270415,251,17504,19.7573233943239
"161","Estonia",2008,5.5,14.2,"0.841",1264005,242,19141,19.1454938864957
"162","Estonia",2009,13.5,11.9,"0.838",1259010,269,15609,21.3659939158545
"163","Estonia",2010,16.7,11.4,"0.844",1254225,223,15540,17.7799039247344
"164","Estonia",2011,12.3,12,"0.853",1249427,218,18545,17.4479981623576
"165","Estonia",2012,10,12.1,"0.859",1251631,237,18411,18.9352932293943
"166","Estonia",2013,8.6,11.9,"0.863",1243096,218,20221,17.536859582848
"167","Estonia",2014,7.4,11.1,"0.865",1241852,241,21117,19.4064993252014
"168","Estonia",2015,6.2,10.6,"0.871",1243450,195,18149,15.6821745948772
"169","Finland",1995,17,8.3,"0.816",4781300,1388,28068,29.029761780269
"170","Finland",1996,15.6,8.2,"0.823",4802200,1247,27508,25.96726500354
"171","Finland",1997,15,8.6,"0.832",4823200,1322,26296,27.4091889202189
"172","Finland",1998,13.2,8.6,"0.84",4844673,1228,27646,25.3474279894639
"173","Finland",1999,11.7,8.6,"0.848",4864255,1207,27800,24.8136662243242
"174","Finland",2000,11.1,8.6,"0.858",4881820,1165,25716,23.864050702402
"175","Finland",2001,10.3,9,"0.864",4898983,1204,26383,24.5765294551951
"176","Finland",2002,10.4,9.2,"0.867",4915614,1095,28390,22.2759557605622
"177","Finland",2003,10.5,9.3,"0.87",4929856,1075,34701,21.8059107608823
"178","Finland",2004,10.4,9.9,"0.891",4944765,1064,39793,21.5177060992787
"179","Finland",2005,8.4,10,"0.895",4961784,994,41202,20.0331171207775
"180","Finland",2006,7.7,10.1,"0.899",4979740,1062,43487,21.3264146320892
"181","Finland",2007,6.9,10.5,"0.901",4998853,995,51089,19.9045661074651
"182","Finland",2008,6.4,10.3,"0.904",5020096,1033,56521,20.57729573299
"183","Finland",2009,8.2,10,"0.899",5042316,1034,49878,20.5064498139347
"184","Finland",2010,8.4,9.7,"0.903",5063494,954,48939,18.8407451455457
"185","Finland",2011,7.8,9.8,"0.907",5085985,912,53809,17.9316297629663
"186","Finland",2012,7.7,9.3,"0.908",5110450,873,50232,17.0826443855238
"187","Finland",2013,8.2,9.1,"0.916",5135433,887,52572,17.2721560187817
"188","Finland",2014,8.7,8.8,"0.918",5159944,789,52832,15.2908636217757
"189","Finland",2015,9.4,8.5,"0.919",5181797,731,44862,14.1070752096232
"190","France",1995,11.8,14.5,"0.825",54528500,11819,29363,21.6749039493109
"191","France",1996,12.4,14.5,"0.83",54791600,11279,29305,20.585272195008
"192","France",1997,12.6,14.3,"0.834",55045500,11139,26394,20.2359865929095
"193","France",1998,12.1,14.5,"0.839",55280700,10534,27190,19.0554750572985
"194","France",1999,12,14.4,"0.844",55043393,10268,27118,18.6543732869084
"195","France",2000,10.2,13.9,"0.842",55267624,10849,24648,19.6299374114581
"196","France",2001,8.6,14.1,"0.845",55511272,10449,24796,18.8232040512421
"197","France",2002,8.7,13.9,"0.845",55935517,10643,26714,19.0272667006904
"198","France",2003,8.3,13.4,"0.848",56360402,10871,32656,19.288364905559
"199","France",2004,8.9,13.1,"0.852",56813922,10804,37240,19.016465717681
"200","France",2005,8.5,12.9,"0.86",57160687,10713,38420,18.7419021048505
"201","France",2006,8.4,13.1,"0.865",57824447,10423,40097,18.0252480408503
"202","France",2007,7.7,12.9,"0.867",58167011,10127,45682,17.4102121217815
"203","France",2008,7.1,12.5,"0.869",58482967,10353,49901,17.7025902259713
"204","France",2009,8.7,12.6,"0.869",58770727,10499,45775,17.8643357602161
"205","France",2010,8.9,12.3,"0.872",59056283,10379,44747,17.5747599963242
"206","France",2011,8.8,12.4,"0.876",59344643,10408,48217,17.5382300302994
"207","France",2012,9.4,12.2,"0.878",59638457,9743,45002,16.3367741053394
"208","France",2013,9.9,11.6,"0.882",59910069,9600,46922,16.0240175987779
"209","France",2014,10.3,12,"0.887",60275954,8881,47318,14.7339020133966
"210","France",2015,10.4,11.9,"0.888",63087510,9240,47622,14.6463222276485
"211","Germany",1995,8.2,13.4,"0.834",77547500,12888,33420,16.6194912795383
"212","Germany",1996,8.8,13.1,"0.839",77882500,12225,32147,15.6967226270343
"213","Germany",1997,9.9,13,"0.844",78067900,12256,28420,15.6991541978201
"214","Germany",1998,9.8,12.7,"0.853",78071100,11654,28733,14.9274187247266
"215","Germany",1999,8.9,12.8,"0.861",78141200,11160,28154,14.2818385179649
"216","Germany",2000,7.9,12.9,"0.869",78242066,11073,24922,14.1522336590652
"217","Germany",2001,7.8,12.5,"0.876",78421514,11167,24874,14.2397148823217
"218","Germany",2002,8.5,12.3,"0.883",78633771,11176,26441,14.2127229279135
"219","Germany",2003,9.8,11.9,"0.889",78756461,11155,31816,14.1639172943538
"220","Germany",2004,10.7,11.8,"0.899",78811814,10741,35772,13.6286673975046
"221","Germany",2005,11.2,11.7,"0.9",78851254,10270,36289,13.0245233639531
"222","Germany",2006,10.3,11.8,"0.91",78828994,9775,38088,12.4002597318444
"223","Germany",2007,8.7,11.5,"0.914",78776585,9409,43667,11.9439043974805
"224","Germany",2008,7.5,11.4,"0.916",78662789,9459,47702,12.0247452706006
"225","Germany",2009,7.7,11.2,"0.916",78448602,9579,43570,12.2105426429396
"226","Germany",2010,7,11.2,"0.92",78349067,10030,43614,12.8016840328169
"227","Germany",2011,5.8,11.3,"0.925",78371140,10153,47947,12.95502400501
"228","Germany",2012,5.4,11.3,"0.927",78508115,9896,45142,12.6050663679799
"229","Germany",2013,5.2,11.1,"0.927",77270988,10091,48563,13.0592351168074
"230","Germany",2014,5,11.1,"0.93",77552369,10217,50167,13.1743235335596
"231","Germany",2015,4.6,11.1,"0.933",78136683,10088,43201,12.9107093015453
"232","Greece",1995,9.1,10.1,"0.768",10101632,370,13550,3.66277449030018
"233","Greece",1996,9.7,9.7,"0.772",10178479,356,14330,3.49757562009019
"234","Greece",1997,9.6,9.5,"0.777",10248806,374,13968,3.64920557575195
"235","Greece",1998,10.8,9,"0.787",10310630,403,14008,3.90858754508696
"236","Greece",1999,11.9,9.5,"0.789",10362363,381,13756,3.6767675480969
"237","Greece",2000,11.2,8.6,"0.796",10403059,382,12509,3.67199686169232
"238","Greece",2001,10.5,8.8,"0.806",10441529,334,13043,3.19876523830945
"239","Greece",2002,10,8.2,"0.818",10482045,323,14676,3.08145977240128
"240","Greece",2003,9.4,8.9,"0.825",10515665,375,19202,3.56610827750789
"241","Greece",2004,10.3,9.1,"0.835",10547290,353,22804,3.34683127135027
"242","Greece",2005,10,9.2,"0.845",10582816,400,23414,3.77971231853601
"243","Greece",2006,9,8.7,"0.851",10618891,394,25739,3.71036862512291
"244","Greece",2007,8.4,8.9,"0.849",10653591,328,29896,3.07877409598322
"245","Greece",2008,7.8,8.7,"0.857",10686723,373,33168,3.49031223135474
